userName,condition,taskNumber,focus,ExperimentState,elapsedTime,headsetX,headsetY,headsetZ,3DCameraXPos,3DCameraYPos,3DCameraZPos,3DCameraXRot,3DCameraYRot,3DCameraZRot,FOV,distance,taskID,currentSliver.transform.position.x,currentSliver.transform.position.y,currentSliver.transform.position.z,currentTarget.transform.position.x,currentTarget.transform.position.y,currentTarget.transform.position.z,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,currentObjectRotationXInspector,currentObjectRotationYInspector,currentObjectRotationZInspector,targetRotationXInspector,targetRotationYInspector,targetRotationZInspector,angle,mouseX,mouseY,button,side,status
9-3-20 AndiTest,Desktop,1,Speed,Complexity,6.345351,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.1461438,1,-0.3235815,0.4928635,-0.04077053,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,310.7396,555.4341,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,6.473886,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.1461438,1,-0.3235815,0.4928635,-0.04077053,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,310.7396,555.4341,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,6.586167,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.1001828,1,-0.3210181,0.5995263,-0.08652878,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,316.9132,569.8392,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,6.698193,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.1001828,1,-0.3210181,0.5995263,-0.08652878,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,316.9132,569.8392,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,6.814158,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.1001828,1,-0.3210181,0.5995263,-0.08652878,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,316.9132,569.8392,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,6.941135,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04868376,1,-0.3204688,0.5995263,-0.02555752,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,308.6817,569.8392,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,7.061432,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04021331,1,-0.3202856,0.5995263,-0.01031494,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,306.6238,569.8392,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,7.173325,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04021331,1,-0.3202856,0.5995263,-0.01031494,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,306.6238,569.8392,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,7.28353,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04021331,1,-0.3202856,0.5995263,-0.01031494,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,306.6238,569.8392,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,7.39744,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04021331,1,-0.3202856,0.5995263,-0.01031494,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,306.6238,569.8392,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,7.515887,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.09866448,1,-0.3221777,0.538577,-0.02554035,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,308.6817,561.6077,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,7.63223,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.09866448,1,-0.3221777,0.538577,-0.02554035,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,308.6817,561.6077,,,
9-3-20 AndiTest,Desktop,1,Speed,Complexity,7.744118,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.09866448,1,-0.3221777,0.538577,-0.02554035,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,0,0,0,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,308.6817,561.6077,,,
