userName,taskNumber,elapsedTime,headsetX,headsetY,headsetZ,ControllerLeftX,ControllerLeftY,ControllerLeftZ,ControllerRightX,ControllerRightY,ControllerRightZ,distance,taskID,objectName,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,button,side,status
Katie,0,8.871887,-0.9751503,1.566394,0.9655048,-0.8157566,1.25001,1.215953,-0.7659678,1.296927,0.9569769,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,8.984307,-0.9889061,1.566728,0.9810387,-0.8148175,1.236692,1.222701,-0.797232,1.293432,0.9541193,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,9.095807,-0.9999833,1.56549,0.9857782,-0.8098038,1.22691,1.211326,-0.8298866,1.293372,0.9445494,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,9.207876,-1.011718,1.565724,0.9829544,-0.8048995,1.222681,1.188467,-0.8411008,1.2878,0.9292288,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,9.323258,-1.023455,1.56652,0.9731839,-0.8129012,1.227249,1.166494,-0.8458408,1.281467,0.9108464,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,9.442435,-1.033815,1.570803,0.9559564,-0.829631,1.225813,1.149367,-0.8488897,1.279108,0.9012606,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,9.563093,-1.040662,1.571247,0.935917,-0.8525463,1.216902,1.132676,-0.8572984,1.278965,0.8899097,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,9.678062,-1.044144,1.573682,0.9168541,-0.866859,1.199106,1.114786,-0.8666916,1.275774,0.8722286,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,9.79992,-1.048353,1.56695,0.8987178,-0.8836389,1.181876,1.096353,-0.8737755,1.256894,0.8534895,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,9.924157,-1.052105,1.567226,0.891259,-0.8935035,1.173223,1.089773,-0.8660381,1.240017,0.8469024,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,10.03436,-1.052043,1.566569,0.8918079,-0.8924506,1.171977,1.090452,-0.8710302,1.24545,0.8434349,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,10.1674,-1.046803,1.571363,0.8962508,-0.8733835,1.166313,1.087664,-0.8726743,1.252813,0.8419023,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,10.30132,-1.044134,1.564595,0.903239,-0.8574794,1.163596,1.08419,-0.8734986,1.236791,0.8453277,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,10.43619,-1.038945,1.566936,0.9050337,-0.8450644,1.166638,1.081665,-0.8739369,1.234503,0.8473015,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,10.56923,-1.039879,1.565674,0.9057683,-0.8383431,1.162719,1.078919,-0.874486,1.23228,0.854652,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,10.67987,-1.041111,1.568023,0.9097622,-0.8330973,1.156079,1.078902,-0.8756983,1.235668,0.8578775,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,10.79256,-1.041906,1.56788,0.9153991,-0.831194,1.155362,1.078633,-0.8790891,1.238003,0.8573672,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,10.94904,-1.043082,1.566861,0.9215801,-0.8315413,1.15777,1.074725,-0.8810932,1.236391,0.8543128,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,11.06044,-1.045063,1.566069,0.9265125,-0.8361124,1.161384,1.062613,-0.884437,1.234476,0.8510305,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,11.17206,-1.045319,1.566148,0.9263576,-0.841105,1.160038,1.05413,-0.8842292,1.231555,0.8515154,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,11.28336,-1.044984,1.566203,0.9245919,-0.8455443,1.155809,1.052132,-0.8847551,1.230944,0.8526572,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,11.3954,-1.04427,1.565917,0.9213648,-0.8498216,1.153235,1.052277,-0.8836987,1.230217,0.8527941,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,11.51793,-1.043803,1.56566,0.9177433,-0.8490545,1.148718,1.049834,-0.8813417,1.228862,0.8517991,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,11.6302,-1.044223,1.565141,0.9129426,-0.8505652,1.146939,1.044452,-0.8809391,1.230133,0.8496507,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,11.74913,-1.045823,1.56428,0.9084218,-0.8492209,1.146847,1.040503,-0.8825034,1.230448,0.8474325,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,11.86498,-1.049538,1.564216,0.9055588,-0.8449967,1.147263,1.032431,-0.883072,1.23138,0.84189,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,11.97615,-1.053679,1.565555,0.9048168,-0.8430176,1.151062,1.024699,-0.8821804,1.233229,0.8356533,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,12.08834,-1.057897,1.567438,0.9065309,-0.8419913,1.153995,1.023801,-0.8816338,1.235185,0.8338028,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,12.20084,-1.060966,1.569147,0.9098939,-0.84274,1.153447,1.026608,-0.8819455,1.235933,0.8371161,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,12.31139,-1.062015,1.57086,0.9136404,-0.8481335,1.151269,1.030929,-0.8820126,1.234493,0.843773,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
